Graph,Algorithm,n,m,k,l,Permutation,Solved,MT,All Solutions,Time [s],Total Time [s],Time Initialization [s],Threads,Calls,Extra_lbs,Fallbacks,Prunes,Single,Skipped,Stolen,Solutions,Scaling Factor Time,Scaling Factor Calls,Speedup,Efficiency
heur177.gr,FPT-LS-MP,22688,54705,27356,3,0,False,False,False,44.3189,352.432,3.44161,1,55,27,27,1,0,0,0,0,1.14384,1.03774,1,1
heur177.gr,FPT-LS-MP,22688,54705,27355,3,0,False,False,False,42.3115,308.113,3.44161,1,53,26,26,1,0,0,0,0,1.15918,1.03922,1,1
heur177.gr,FPT-LS-MP,22688,54705,27354,3,0,False,False,False,40.83,265.802,3.44161,1,51,25,25,1,0,0,0,0,1.18149,1.13333,1,1
heur177.gr,FPT-LS-MP,22688,54705,27353,3,0,False,False,False,36.1655,224.972,3.44161,1,45,22,22,1,0,0,0,0,1.19155,1.21622,1,1
heur177.gr,FPT-LS-MP,22688,54705,27352,3,0,False,False,False,30.4454,188.806,3.44161,1,37,18,18,1,0,0,0,0,1.19225,1,1,1
heur177.gr,FPT-LS-MP,22688,54705,27343,3,0,False,False,False,2.39559,8.82221,3.44161,1,3,1,1,1,0,0,0,0,1.37276,1,1,1
heur177.gr,FPT-LS-MP,22688,54705,27342,3,0,False,False,False,2.00675,6.42662,3.44161,1,3,1,1,1,0,0,0,0,1.45403,1,1,1
heur177.gr,FPT-LS-MP,22688,54705,27341,3,0,False,False,False,0.978261,4.41987,3.44161,1,3,1,1,1,0,0,0,0,nan,nan,1,1
heur173.gr,FPT-LS-MP,9878,25973,11511,3,0,False,False,False,219.485,2067.19,1.40041,1,1269,265,626,378,0,0,0,0,1.11879,1.13001,1,1
heur173.gr,FPT-LS-MP,9878,25973,11510,3,0,False,False,False,195.579,1847.7,1.40041,1,1123,231,554,338,0,0,0,0,1.11837,1.12188,1,1
heur173.gr,FPT-LS-MP,9878,25973,11509,3,0,False,False,False,174.526,1652.13,1.40041,1,1001,212,492,297,0,0,0,0,1.11812,1.12094,1,1
heur173.gr,FPT-LS-MP,9878,25973,11508,3,0,False,False,False,154.897,1477.6,1.40041,1,893,198,437,258,0,0,0,0,1.11711,1.2035,1,1
heur173.gr,FPT-LS-MP,9878,25973,11507,3,0,False,False,False,130.804,1322.7,1.40041,1,742,187,359,196,0,0,0,0,1.10974,1.21639,1,1
heur173.gr,FPT-LS-MP,9878,25973,11506,3,0,False,False,False,108.781,1191.9,1.40041,1,610,158,291,161,0,0,0,0,1.10043,1.16858,1,1
heur173.gr,FPT-LS-MP,9878,25973,11505,3,0,False,False,False,93.4353,1083.12,1.40041,1,522,144,247,131,0,0,0,0,1.09441,1.20833,1,1
heur173.gr,FPT-LS-MP,9878,25973,11504,3,0,False,False,False,78.4495,989.682,1.40041,1,432,116,201,115,0,0,0,0,1.08609,1.28571,1,1
heur173.gr,FPT-LS-MP,9878,25973,11503,3,0,False,False,False,62.5194,911.233,1.40041,1,336,88,154,94,0,0,0,0,1.07366,1.19149,1,1
heur173.gr,FPT-LS-MP,9878,25973,11502,3,0,False,False,False,53.1025,848.713,1.40041,1,282,70,130,82,0,0,0,0,1.06674,1.27602,1,1
heur173.gr,FPT-LS-MP,9878,25973,11501,3,0,False,False,False,42.6845,795.611,1.40041,1,221,51,103,67,0,0,0,0,1.05669,1.16931,1,1
heur173.gr,FPT-LS-MP,9878,25973,11500,3,0,False,False,False,36.769,752.926,1.40041,1,189,46,91,52,0,0,0,0,1.05134,1.0442,1,1
heur173.gr,FPT-LS-MP,9878,25973,11497,3,0,False,False,False,30.5648,649.846,1.40041,1,171,41,84,46,0,0,0,0,1.04936,1.01183,1,1
heur173.gr,FPT-LS-MP,9878,25973,11496,3,0,False,False,False,29.3887,619.281,1.40041,1,169,41,84,44,0,0,0,0,1.04982,1.06289,1,1
heur173.gr,FPT-LS-MP,9878,25973,11495,3,0,False,False,False,27.4212,589.893,1.40041,1,159,41,79,39,0,0,0,0,1.04875,1.01274,1,1
heur173.gr,FPT-LS-MP,9878,25973,11494,3,0,False,False,False,26.7233,562.471,1.40041,1,157,40,78,39,0,0,0,0,1.04988,1.02614,1,1
heur173.gr,FPT-LS-MP,9878,25973,11493,3,0,False,False,False,25.8583,535.748,1.40041,1,153,39,76,38,0,0,0,0,1.05071,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11492,3,0,False,False,False,25.7019,509.89,1.40041,1,153,39,76,38,0,0,0,0,1.05308,1.05517,1,1
heur173.gr,FPT-LS-MP,9878,25973,11491,3,0,False,False,False,24.3994,484.188,1.40041,1,145,36,72,37,0,0,0,0,1.05307,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11490,3,0,False,False,False,24.1947,459.788,1.40041,1,145,36,72,37,0,0,0,0,1.05554,1.02837,1,1
heur173.gr,FPT-LS-MP,9878,25973,11489,3,0,False,False,False,23.369,435.594,1.40041,1,141,36,70,35,0,0,0,0,1.05669,1.0292,1,1
heur173.gr,FPT-LS-MP,9878,25973,11488,3,0,False,False,False,22.7354,412.225,1.40041,1,137,34,68,35,0,0,0,0,1.05837,1.0458,1,1
heur173.gr,FPT-LS-MP,9878,25973,11487,3,0,False,False,False,21.5932,389.489,1.40041,1,131,32,65,34,0,0,0,0,1.05869,1.0315,1,1
heur173.gr,FPT-LS-MP,9878,25973,11486,3,0,False,False,False,20.9291,367.896,1.40041,1,127,31,63,33,0,0,0,0,1.06032,1.016,1,1
heur173.gr,FPT-LS-MP,9878,25973,11485,3,0,False,False,False,20.5934,346.967,1.40041,1,125,30,62,33,0,0,0,0,1.0631,1.03306,1,1
heur173.gr,FPT-LS-MP,9878,25973,11484,3,0,False,False,False,20.1641,326.374,1.40041,1,121,28,60,33,0,0,0,0,1.06585,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11483,3,0,False,False,False,19.6779,306.21,1.40041,1,121,28,60,33,0,0,0,0,1.06868,1.05217,1,1
heur173.gr,FPT-LS-MP,9878,25973,11482,3,0,False,False,False,18.8669,286.532,1.40041,1,115,28,57,30,0,0,0,0,1.07049,1.03604,1,1
heur173.gr,FPT-LS-MP,9878,25973,11481,3,0,False,False,False,18.1019,267.665,1.40041,1,111,27,55,29,0,0,0,0,1.07253,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11480,3,0,False,False,False,18.0497,249.563,1.40041,1,111,27,55,29,0,0,0,0,1.07797,1.05714,1,1
heur173.gr,FPT-LS-MP,9878,25973,11479,3,0,False,False,False,17.1473,231.513,1.40041,1,105,26,52,27,0,0,0,0,1.07999,1.06061,1,1
heur173.gr,FPT-LS-MP,9878,25973,11478,3,0,False,False,False,16.3284,214.366,1.40041,1,99,26,49,24,0,0,0,0,1.08245,1.04211,1,1
heur173.gr,FPT-LS-MP,9878,25973,11477,3,0,False,False,False,15.6597,198.038,1.40041,1,95,26,47,22,0,0,0,0,1.08587,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11475,3,0,False,False,False,14.4734,166.915,1.40041,1,89,24,44,21,0,0,0,0,1.09495,1.09877,1,1
heur173.gr,FPT-LS-MP,9878,25973,11474,3,0,False,False,False,13.2984,152.441,1.40041,1,81,21,40,20,0,0,0,0,1.09557,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11473,3,0,False,False,False,13.0627,139.143,1.40041,1,81,21,40,20,0,0,0,0,1.10361,1.05195,1,1
heur173.gr,FPT-LS-MP,9878,25973,11472,3,0,False,False,False,12.5238,126.08,1.40041,1,77,20,38,19,0,0,0,0,1.11028,1.08451,1,1
heur173.gr,FPT-LS-MP,9878,25973,11471,3,0,False,False,False,11.4391,113.557,1.40041,1,71,18,35,18,0,0,0,0,1.11203,1.0597,1,1
heur173.gr,FPT-LS-MP,9878,25973,11470,3,0,False,False,False,10.8322,102.117,1.40041,1,67,18,33,16,0,0,0,0,1.11866,1.06349,1,1
heur173.gr,FPT-LS-MP,9878,25973,11469,3,0,False,False,False,10.1407,91.2853,1.40041,1,63,18,31,14,0,0,0,0,1.12497,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11468,3,0,False,False,False,10.0251,81.1447,1.40041,1,63,18,31,14,0,0,0,0,1.14096,1.14545,1,1
heur173.gr,FPT-LS-MP,9878,25973,11467,3,0,False,False,False,8.824,71.1195,1.40041,1,55,18,27,10,0,0,0,0,1.14165,1.07843,1,1
heur173.gr,FPT-LS-MP,9878,25973,11466,3,0,False,False,False,8.1048,62.2955,1.40041,1,51,18,25,8,0,0,0,0,1.14956,1.04082,1,1
heur173.gr,FPT-LS-MP,9878,25973,11465,3,0,False,False,False,7.75586,54.1907,1.40041,1,49,18,24,7,0,0,0,0,1.16703,1.19512,1,1
heur173.gr,FPT-LS-MP,9878,25973,11464,3,0,False,False,False,6.54687,46.4349,1.40041,1,41,14,20,7,0,0,0,0,1.16413,1,1,1
heur173.gr,FPT-LS-MP,9878,25973,11460,3,0,False,False,False,4.84068,22.6094,1.40041,1,31,10,15,6,0,0,0,0,1.27243,1.34783,1,1
heur177.gr,FPT-LS-MP,22688,54705,27361,3,0,False,False,False,60.5091,630.178,3.44161,1,75,37,37,1,0,0,0,0,1.10622,1,1,1
heur171.gr,FPT-LS-MP,8718,31525,15833,3,0,False,False,False,110.132,2099.73,1.02577,1,565,208,266,91,0,0,0,0,1.05535,1.18449,1,1
heur177.gr,FPT-LS-MP,22688,54705,27366,3,0,False,False,False,79.3297,996.62,3.44161,1,97,48,48,1,0,0,0,0,1.08648,1.02105,1,1
heur171.gr,FPT-LS-MP,8718,31525,15832,3,0,False,False,False,94.012,1989.6,1.02577,1,477,171,224,82,0,0,0,0,1.04959,1.272,1,1
heur171.gr,FPT-LS-MP,8718,31525,15807,3,0,False,False,False,34.7077,776.677,1.02577,1,189,77,94,18,0,0,0,0,1.04678,1.0442,1,1
